source_path	freeze_path	sha256	bytes	mtime_local	tracked_at_freeze	post_2300_jst	role
v36_9_tomato_long_q012_patch_4gpu_v4_stage2_inext_q2fast.py	code/upstream/v36_9_tomato_long_q012_patch_4gpu_v4_stage2_inext_q2fast.py	c813d1a8fca1c717f4e9e2d801d48167591d655b0b8b626e0fcb96886f5d4496	152560	2026-06-30 14:06:59 JST	yes	no	primary upstream Stage 2 q-fast code used by q0/q2 wrappers
Tomato_0324_v6_4gpu_stage2_inext.py	code/downstream/Tomato_0324_v6_4gpu_stage2_inext.py	ee16b7541f3b6942dd01b2e2e0b80ff974d50e28f86463c43fbc23c66e905832	107757	2026-06-30 09:53:38 JST	yes	no	primary downstream Stage 2 iNEXT figure/summary code
scripts/run_stage2_q2_formula_raw_boot50_gpupc2_20260630.sh	code/wrappers/run_stage2_q2_formula_raw_boot50_gpupc2_20260630.sh	29c43f1a68c58b144f529ad542d2ea7ab53f8b513b1411d11e15a4708cb857b9	9451	2026-06-30 23:13:37 JST	yes	yes	q2 Formula raw Bootstrap=50 submission-adjacent wrapper; mtime after 23:00 JST
scripts/run_stage2_q2_nonformula9_ssc_raw_urgent_20260630.sh	code/wrappers/run_stage2_q2_nonformula9_ssc_raw_urgent_20260630.sh	c04818cc328308cc84bacbff33a4508b4ce84b456d3aa71eaeb3df4fdd6c9d4c	6116	2026-06-30 12:16:21 JST	no	no	q2 non-Formula SSC raw urgent wrapper for SSC sensitivity
scripts/run_stage2_q2_nonformula9_ssc0990_manual_accel_20260630.sh	code/wrappers/run_stage2_q2_nonformula9_ssc0990_manual_accel_20260630.sh	c0c227d540b44786ca896c7de48718401d1ae41a616babed7f1eb42cae4829bd	7722	2026-06-30 22:24:11 JST	no	no	manual accelerator wrapper for q2 non-Formula SSC=0.990 raw shards
scripts/run_stage2_q0_formula_brite_pathway_raw_gpupc2_20260630.sh	code/wrappers/run_stage2_q0_formula_brite_pathway_raw_gpupc2_20260630.sh	9585c94f93e653001817e7d88befd72ea906261fe2c4f1e6bebc153b481137ea	7212	2026-06-30 00:26:20 JST	no	no	q0 Formula/Brite/Pathway raw wrapper
scripts/watch_q1_then_resume_nonformula9_ssc_20260629.sh	code/wrappers/watch_q1_then_resume_nonformula9_ssc_20260629.sh	dafd6ae142bf08b5da5b21b64021fc0db493bb54f8915ad68b7435fda260e923	3866	2026-06-29 15:11:51 JST	no	no	watcher controlling q1 completion then q2 non-Formula SSC resume
scripts/merge_stage2_q2fast_shards_safe_20260625.py	code/support/merge_stage2_q2fast_shards_safe_20260625.py	3b3fa3d27b5686af77ddf6643dabec008ba28ff8f604354372755f3b4f4a5065	4390	2026-06-25 08:10:17 JST	no	no	safe shard merge helper used by q-fast wrappers
scripts/generate_stage2_inext_medium_large_overlays_20260622.py	code/renderers/generate_stage2_inext_medium_large_overlays_20260622.py	95a017b7881e1265ac56cc67806d4d863fdd3abbf728be90d5c0370032c98120	31098	2026-06-29 21:19:14 JST	yes	no	medium/large overlay renderer modified in working tree
scripts/render_stage2_q1_fig01_style2_raw_20260630.py	code/renderers/render_stage2_q1_fig01_style2_raw_20260630.py	a490c9ddfc028adab3eb7b85d3ee7e476515c8609cec41cd25d863a2de07b6ae	16723	2026-06-30 00:17:59 JST	no	no	q1 Fig01 style2 renderer
scripts/build_stage2_q1_fig01_style2_domain_grid_deck_20260630.mjs	code/renderers/build_stage2_q1_fig01_style2_domain_grid_deck_20260630.mjs	788325897ce5297f2b106f85269e7d6731081b0fcf300f16a9ad9299f6ff46c7	7329	2026-06-30 00:22:54 JST	no	no	q1 Fig01 style2 review deck builder
scripts/split_stage2_inext_q2_cliffs_domain_runs_20260622.py	code/support/split_stage2_inext_q2_cliffs_domain_runs_20260622.py	b9177a306bdc70bfc7e514883f68717fcec837d89c1e7f654fa6da2a8c4bda65	9972	2026-06-22 12:19:58 JST	yes	no	q2 domain split support utility
scripts/build_retention_jaccard_overlay_tables_20260622.py	code/support/build_retention_jaccard_overlay_tables_20260622.py	484a2248493596e242c558525e343e83baad5db9cc374ca48d90559e7e27ac5b	20483	2026-06-22 15:09:31 JST	yes	no	Retention/Jaccard summary table support utility
